stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.017239038017578423,,0.007935901987366378,0.017239038017578423,0.5149358430062421,0.5149358430062421,0.5315896060201339,0.8147162760142237,1.9841218600049615,right,10.0,1,1,1.3687272609677166,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
1,2,8.0,1.989995522017125,,1.984272095025517,1.989995522017125,2.4982166449772194,2.4982166449772194,2.4982166449772194,2.7986669660313055,3.3174324450083077,left,-8.0,1,1,0.80586481600767,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
2,2,6.0,3.332221094984561,,3.317541563999839,3.332221094984561,3.831813717028126,3.831813717028126,3.831813717028126,4.132694541011006,4.135414433025289,right,6.0,1,1,0.2950745769776404,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
3,1,4.0,4.148430528002791,,4.135558618989307,4.148430528002791,4.649291105975863,4.649291105975863,4.649291105975863,4.949143167003058,5.066726832010318,right,4.0,0,0,0.4090758630190976,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
4,1,5.0,5.081738803011831,,5.066824501031078,5.081738803011831,5.581849278998561,5.581849278998561,5.581849278998561,5.881753878027666,6.151385497010779,right,5.0,0,0,0.5670963699813001,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
5,1,6.0,6.164753275981639,,6.151490438031033,6.164753275981639,6.665099098987412,6.665099098987412,6.665099098987412,,6.683175639016554,right,6.0,1,1,0.0013743420131504536,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
6,1,6.0,6.704717768006958,,6.6832892230013385,6.704717768006958,7.183314453985076,7.183314453985076,7.217455881007481,,7.251460244006012,right,6.0,0,0,0.057031927979551256,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
7,1,7.0,7.265723227988929,,7.251573298999574,7.265723227988929,7.748270007024985,7.748270007024985,7.765490835998207,8.048967344977427,8.73431684600655,left,-7.0,1,1,0.9787535960203968,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
8,1,7.0,8.749112899007741,,8.734405034978408,8.749112899007741,9.24892937601544,9.24892937601544,9.24892937601544,9.550020480004605,9.634063007018995,left,-7.0,1,1,0.3738141569774598,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
9,1,7.0,9.649011114030145,,9.634172164020129,9.649011114030145,10.148952994029969,10.148952994029969,10.148952994029969,10.44920233398443,11.453157384006772,right,7.0,1,1,1.300353165017441,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
10,1,6.0,11.465725224989,,11.453329064999707,11.465725224989,11.965734471974429,11.965734471974429,11.965734471974429,12.266201652004384,12.686761874996591,right,6.0,1,1,0.7054896479821764,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
11,1,6.0,12.706502619024832,,12.68692932400154,12.706502619024832,13.199284243979491,13.199284243979491,13.21631383697968,13.499294304987416,13.585197995998897,right,6.0,1,1,0.38220975000876933,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
12,0.5,6.0,13.599332718993537,,13.585301738989074,13.599332718993537,14.098961283976678,14.098961283976678,14.098961283976678,14.399988139979541,15.451416831987444,left,-6.0,0,0,1.3359921289957128,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
13,0.5,6.5,15.466213522013277,,15.451537396991625,15.466213522013277,15.966043712978717,15.966043712978717,15.966043712978717,16.26631435600575,16.636974372027908,right,6.5,0,0,0.6657539710286073,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
14,0.5,7.0,16.648671263013966,,16.63708191702608,16.648671263013966,17.149416262982413,17.149416262982413,17.149416262982413,17.449541733018123,17.616439727018587,right,7.0,0,0,0.4544039699831046,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
15,0.5,7.5,17.63292459497461,,17.616533056017943,17.63292459497461,18.116219836985692,18.116219836985692,18.133041315013543,18.416314948000945,18.635622680012602,left,-7.5,0,0,0.5171035400126129,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
16,0.5,8.0,18.649280440993607,,18.635729834029917,18.649280440993607,19.149768300994765,19.149768300994765,19.149768300994765,,19.401190157979727,left,-8.0,0,0,0.24337106104940176,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
17,0.5,8.5,19.41627058503218,,19.401277208991814,19.41627058503218,19.91623457602691,19.91623457602691,19.91623457602691,,19.984832025016658,right,8.5,1,1,0.05194194498471916,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
18,0.5,8.5,19.999328917998355,,19.984914169996046,19.999328917998355,20.48337684798753,20.48337684798753,20.49966156098526,20.782966278027743,21.284556095022708,left,-8.5,1,1,0.7925125320325606,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
19,0.5,8.5,21.30010198801756,,21.2846512820106,21.30010198801756,21.79979971598368,21.79979971598368,21.79979971598368,,22.017796437023208,right,8.5,0,0,0.20499673404265195,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
20,0.5,9.0,22.032914698997047,,22.01789226802066,22.032914698997047,22.532141381001566,22.532141381001566,22.532141381001566,22.850994169013575,23.884670629980974,left,-9.0,0,0,1.3454631729982793,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
21,0.5,9.5,23.90011907101143,,23.88476876099594,23.90011907101143,24.399798314028885,24.399798314028885,24.399798314028885,24.706508046016097,26.05161860602675,left,-9.5,1,1,1.634711224003695,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
22,0.5,9.5,26.06645576102892,,26.051734131993726,26.06645576102892,26.566593096009456,26.566593096009456,26.566593096009456,26.866714245988987,27.402079190011136,right,9.5,1,1,0.8232320540118963,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
23,0.5,9.5,27.417277736007236,,27.40217560500605,27.417277736007236,27.917241411982104,27.917241411982104,27.917241411982104,28.21657879301347,28.301337382989004,right,9.5,0,0,0.3738659609807655,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
24,0.5,10.0,28.31714053300675,,28.301427775993943,28.31714053300675,28.800409363990184,28.800409363990184,28.816993260988966,,29.06855472701136,right,10.0,1,1,0.25517772999592125,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
25,0.5,10.0,29.083664031990338,,29.068661277007777,29.083664031990338,29.58368281199364,29.58368281199364,29.58368281199364,29.883382236002944,30.135266450000927,right,10.0,1,1,0.5450193799915724,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
26,0.5,10.0,30.15018980501918,,30.13536578201456,30.15018980501918,30.650548922014423,30.650548922014423,30.650548922014423,30.95064390002517,31.018930024001747,left,-10.0,0,0,0.36232143599772826,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
27,0.5,10.5,31.033777284028474,,31.01903347100597,31.033777284028474,31.534075934032444,31.534075934032444,31.534075934032444,31.833754435006995,32.33528762997594,right,10.5,1,1,0.7906748409732245,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
28,0.5,10.5,32.35081990202889,,32.335386869031936,32.35081990202889,32.85021833702922,32.85021833702922,32.85021833702922,33.15192569402279,33.30246958800126,left,-10.5,1,1,0.43884203903144225,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
29,0.5,10.5,33.31795111199608,,33.30255289201159,33.31795111199608,33.80010366800707,33.80010366800707,33.83396260201698,34.10054269200191,34.53460507298587,left,-10.5,1,1,0.726239388983231,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
30,0.5,10.0,34.55085197702283,,34.534703205979895,34.55085197702283,35.03384577302495,35.03384577302495,35.05082283500815,35.334034779982176,37.87569841602817,right,10.0,1,1,2.8375066529843025,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
31,0.5,10.0,37.885156966978684,,37.87587068998255,37.885156966978684,38.38413425302133,38.38413425302133,38.38413425302133,38.68549127300503,39.33654079103144,right,10.0,1,1,0.948613389977254,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
32,0.5,10.0,39.35061143600615,,39.33669548499165,39.35061143600615,39.850796926009934,39.850796926009934,39.850796926009934,40.15193806501338,40.538593414006755,left,-10.0,1,1,0.6773531960207038,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
33,0.5,9.5,40.55104171403218,,40.538742056000046,40.55104171403218,41.051543909008615,41.051543909008615,41.051543909008615,41.35102917900076,41.86939800699474,left,-9.5,1,1,0.8061140149948187,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
34,0.5,9.5,41.88394335802877,,41.869494109007064,41.88394335802877,42.38430889300071,42.38430889300071,42.38430889300071,42.68472977599595,42.90452845400432,left,-9.5,1,1,0.5176426169928163,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
35,0.5,9.5,42.91811334301019,,42.904678969003726,42.91811334301019,43.41797424602555,43.41797424602555,43.41797424602555,43.71876059501665,44.020224636013154,right,9.5,1,1,0.5984307850012556,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
36,0.5,9.0,44.03460207401076,,44.02038242702838,44.03460207401076,44.53550291899592,44.53550291899592,44.53550291899592,44.83476763399085,44.836633353028446,left,-9.0,0,0,0.286843700974714,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
37,0.5,9.5,44.85128259198973,,44.83678731601685,44.85128259198973,45.35153333900962,45.35153333900962,45.35153333900962,,45.42092487600166,left,-9.5,1,1,0.06621836498379707,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
38,0.5,9.5,45.434316395025235,,45.42106793698622,45.434316395025235,45.92544367199298,45.92544367199298,45.92544367199298,,46.18865308299428,left,-9.5,1,1,0.25830840202979743,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
39,0.5,9.5,46.201235609012656,,46.18874654802494,46.201235609012656,46.707608759985305,46.707608759985305,46.707608759985305,,46.88652841799194,right,9.5,0,0,0.1654636439634487,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
40,0.5,10.0,46.901676330016926,,46.8866150190006,46.901676330016926,47.401990382000804,47.401990382000804,47.401990382000804,,47.519301844993606,right,10.0,0,0,0.10119208897231147,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
41,0.5,10.5,47.53473368199775,,47.51941373501904,47.53473368199775,48.0352743419935,48.0352743419935,48.0352743419935,48.33470876497449,48.38628192897886,right,10.5,1,1,0.3442686519701965,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
42,0.5,10.5,48.401660401024856,,48.386375901987776,48.401660401024856,48.88535518501885,48.88535518501885,48.90182619902771,,49.00321996503044,left,-10.5,0,0,0.10759236000012606,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
43,0.5,11.0,49.01817494200077,,49.0033100519795,49.01817494200077,49.51852467498975,49.51852467498975,49.51852467498975,49.81819387502037,49.98703171097441,right,11.0,0,0,0.464670771965757,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
44,0.5,11.5,50.001340419985354,,49.98713154398138,50.001340419985354,50.50117376400158,50.50117376400158,50.50117376400158,,50.53681811399292,left,-11.5,1,1,0.02962463698349893,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
45,0.5,11.5,50.55227409303188,,50.53695828799391,50.55227409303188,51.05186837801011,51.05186837801011,51.05186837801011,51.35228664200986,51.505968796031084,left,-11.5,0,0,0.4520318459835835,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
46,0.5,12.0,51.51849962997949,,51.50607475999277,51.51849962997949,52.01830240798881,52.01830240798881,52.01830240798881,52.31819783401443,52.319884064025246,right,12.0,0,0,0.2938433429808356,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
47,0.5,12.5,52.335046491993126,,52.31997789099114,52.335046491993126,52.83553044998553,52.83553044998553,52.83553044998553,53.13614937203238,56.40566809900338,right,12.5,0,0,3.556645842967555,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
48,0.5,13.0,56.41860768100014,,56.4057743169833,56.41860768100014,56.919140969985165,56.919140969985165,56.919140969985165,57.21839046297828,58.75525264197495,left,-13.0,1,1,1.818378759024199,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
